"","Signature","Gene"
"184","Wouters Intermediate cell state","SYTL5"
"185","Wouters Intermediate cell state","RP11-838N2.5"
"186","Wouters Intermediate cell state","NTN4"
"187","Wouters Intermediate cell state","NT5E"
"188","Wouters Intermediate cell state","ASB9"
"189","Wouters Intermediate cell state","EXTL1"
"190","Wouters Intermediate cell state","OAS2"
"191","Wouters Intermediate cell state","CTD-2023N9.1"
"192","Wouters Intermediate cell state","NIPAL1"
"193","Wouters Intermediate cell state","TOX3"
"194","Wouters Intermediate cell state","SNED1"
"195","Wouters Intermediate cell state","TMEM59L"
"196","Wouters Intermediate cell state","PRELP"
"197","Wouters Intermediate cell state","CCNA1"
"198","Wouters Intermediate cell state","PTRF"
"199","Wouters Intermediate cell state","PRDM16"
"200","Wouters Intermediate cell state","TMEM25"
"201","Wouters Intermediate cell state","C1S"
"202","Wouters Intermediate cell state","TSPAN7"
"203","Wouters Intermediate cell state","GBP3"
"204","Wouters Intermediate cell state","VASH1"
"205","Wouters Intermediate cell state","GBP1"
"206","Wouters Intermediate cell state","KCNC1"
"207","Wouters Intermediate cell state","IQCJ-SCHIP1"
"208","Wouters Intermediate cell state","NRP1"
"209","Wouters Intermediate cell state","LINC00607"
"210","Wouters Intermediate cell state","RASAL1"
"211","Wouters Intermediate cell state","FES"
"212","Wouters Intermediate cell state","MX2"
"213","Wouters Intermediate cell state","SPTLC3"
"214","Wouters Intermediate cell state","RP11-114H23.3"
"215","Wouters Intermediate cell state","CERKL"
"216","Wouters Intermediate cell state","RP11-66B24.1"
"217","Wouters Intermediate cell state","SERPINE1"
"218","Wouters Intermediate cell state","ZNF788"
"219","Wouters Intermediate cell state","RP11-114H23.1"
"220","Wouters Intermediate cell state","EHD2"
"221","Wouters Intermediate cell state","STAG3"
"222","Wouters Intermediate cell state","ZNF860"
"223","Wouters Intermediate cell state","OLFML3"
"224","Wouters Intermediate cell state","CCL17"
"225","Wouters Intermediate cell state","BFSP1"
"226","Wouters Intermediate cell state","RP11-566K19.6"
"227","Wouters Intermediate cell state","OLIG1"
"228","Wouters Intermediate cell state","RP11-37L2.1"
"229","Wouters Intermediate cell state","COL15A1"
"230","Wouters Intermediate cell state","LRRC32"
"231","Wouters Intermediate cell state","LIN28B"
"232","Wouters Intermediate cell state","ZSCAN18"
"233","Wouters Intermediate cell state","DUX4L9"
"234","Wouters Intermediate cell state","GPC3"
"235","Wouters Intermediate cell state","STON1"
"236","Wouters Intermediate cell state","SRGN"
"237","Wouters Intermediate cell state","ZNF415"
"238","Wouters Intermediate cell state","AZGP1"
"239","Wouters Intermediate cell state","FRAS1"
"240","Wouters Intermediate cell state","KIAA0040"
"241","Wouters Intermediate cell state","SERPINA5"
"242","Wouters Intermediate cell state","MRGPRX4"
"243","Wouters Intermediate cell state","AC122129.1"
"244","Wouters Intermediate cell state","SORBS2"
"245","Wouters Intermediate cell state","ADAMTS3"
"246","Wouters Intermediate cell state","ABCA9"
"247","Wouters Intermediate cell state","PROSER2-AS1"
"248","Wouters Intermediate cell state","SLC5A3"
"249","Wouters Intermediate cell state","PPEF1"
"250","Wouters Intermediate cell state","LINC00565"
"251","Wouters Intermediate cell state","SERTAD4-AS1"
"252","Wouters Intermediate cell state","CDH2"
"253","Wouters Intermediate cell state","RP11-298D21.3"
"254","Wouters Intermediate cell state","DDX60"
"255","Wouters Intermediate cell state","DLL3"
"256","Wouters Intermediate cell state","CPA2"
"257","Wouters Intermediate cell state","RDH5"
"258","Wouters Intermediate cell state","EVI2A"
"259","Wouters Intermediate cell state","CTD-2521M24.9"
"260","Wouters Intermediate cell state","EPHB3"
"261","Wouters Intermediate cell state","GPR55"
"262","Wouters Intermediate cell state","LYPD5"
"263","Wouters Intermediate cell state","GLDC"
"264","Wouters Intermediate cell state","CPM"
"265","Wouters Intermediate cell state","NRXN3"
"266","Wouters Intermediate cell state","ZNF438"
"267","Wouters Intermediate cell state","RP11-244F12.3"
"268","Wouters Intermediate cell state","NPPC"
"269","Wouters Intermediate cell state","PI15"
"270","Wouters Intermediate cell state","PRSS23"
"271","Wouters Intermediate cell state","DRAXIN"
"272","Wouters Intermediate cell state","DMRTA2"
"273","Wouters Intermediate cell state","COL5A2"
"274","Wouters Intermediate cell state","RP11-114H23.2"
"275","Wouters Intermediate cell state","NELL2"
"276","Wouters Intermediate cell state","AP000769.1"
"277","Wouters Intermediate cell state","TNFRSF10C"
"278","Wouters Intermediate cell state","COL28A1"
"279","Wouters Intermediate cell state","NAALADL2"
"280","Wouters Intermediate cell state","PHEX"
"281","Wouters Intermediate cell state","ANGPTL4"
"282","Wouters Intermediate cell state","S100A16"
"283","Wouters Intermediate cell state","RNF150"
"284","Wouters Intermediate cell state","SSC5D"
"285","Wouters Intermediate cell state","CTF1"
"286","Wouters Intermediate cell state","HMCN1"
"287","Wouters Intermediate cell state","RP11-166D19.1"
"288","Wouters Intermediate cell state","CDK6"
"289","Wouters Intermediate cell state","FAM115C"
"290","Wouters Intermediate cell state","ZNF214"
"291","Wouters Intermediate cell state","FAM111A"
"292","Wouters Intermediate cell state","PCDH1"
"293","Wouters Intermediate cell state","VDR"
"294","Wouters Intermediate cell state","XKR9"
"295","Wouters Intermediate cell state","TMTC1"
"296","Wouters Intermediate cell state","BATF2"
"297","Wouters Intermediate cell state","S100A6"
"298","Wouters Intermediate cell state","RP11-2E17.1"
"299","Wouters Intermediate cell state","NDRG4"
"300","Wouters Intermediate cell state","TRIM51CP"
"301","Wouters Intermediate cell state","NRGN"
"302","Wouters Intermediate cell state","MYO5C"
"303","Wouters Intermediate cell state","LRRN4CL"
"304","Wouters Intermediate cell state","HAPLN3"
"305","Wouters Intermediate cell state","AC017099.3"
"306","Wouters Intermediate cell state","GAS7"
"307","Wouters Intermediate cell state","SCN1B"
"308","Wouters Intermediate cell state","CIITA"
"309","Wouters Intermediate cell state","RP11-114M1.2"
"310","Wouters Intermediate cell state","RP11-266L9.5"
"311","Wouters Intermediate cell state","TRIM67"
"312","Wouters Intermediate cell state","ISG15"
"313","Wouters Intermediate cell state","OAS1"
"314","Wouters Intermediate cell state","POU3F2"
"315","Wouters Intermediate cell state","ZNF295-AS1"
"316","Wouters Intermediate cell state","UNC80"
"317","Wouters Intermediate cell state","ARHGAP15"
"318","Wouters Intermediate cell state","S100A2"
"319","Wouters Intermediate cell state","LOXL2"
"320","Wouters Intermediate cell state","FHDC1"
"321","Wouters Intermediate cell state","IFITM10"
"322","Wouters Intermediate cell state","GXYLT2"
"323","Wouters Intermediate cell state","SLC37A2"
"324","Wouters Intermediate cell state","ADAMTS1"
"325","Wouters Intermediate cell state","STK32B"
"326","Wouters Intermediate cell state","ATL1"
"327","Wouters Intermediate cell state","MMP15"
"328","Wouters Intermediate cell state","AP001007.1"
"329","Wouters Intermediate cell state","COTL1"
"330","Wouters Intermediate cell state","SAMD9"
"331","Wouters Intermediate cell state","RP1-37N7.3"
"332","Wouters Intermediate cell state","GS1-174L6.4"
"333","Wouters Intermediate cell state","AHNAK"
"334","Wouters Intermediate cell state","YPEL4"
"335","Wouters Intermediate cell state","ID4"
"336","Wouters Intermediate cell state","IFIT1"
"337","Wouters Intermediate cell state","MT2A"
"338","Wouters Intermediate cell state","NR2F2-AS1"
"339","Wouters Intermediate cell state","HIST2H2BE"
"340","Wouters Intermediate cell state","PLAT"
"341","Wouters Intermediate cell state","PLEKHA4"
"342","Wouters Intermediate cell state","RP11-893F2.14"
"343","Wouters Intermediate cell state","ROPN1B"
"344","Wouters Intermediate cell state","PCDH12"
"345","Wouters Intermediate cell state","HIST1H2BD"
"346","Wouters Intermediate cell state","RASA4CP"
"347","Wouters Intermediate cell state","CTC-529P8.1"
"348","Wouters Intermediate cell state","CTSO"
"349","Wouters Intermediate cell state","ARG2"
"350","Wouters Intermediate cell state","CSRNP1"
"351","Wouters Intermediate cell state","HIST1H2AC"
"352","Wouters Intermediate cell state","INF2"
"353","Wouters Intermediate cell state","ADORA2B"
"354","Wouters Intermediate cell state","HILS1"
"355","Wouters Intermediate cell state","PRNP"
"356","Wouters Intermediate cell state","NAV3"
"357","Wouters Intermediate cell state","SHROOM2"
"358","Wouters Intermediate cell state","SPATA13"
"359","Wouters Intermediate cell state","AC005943.5"
"360","Wouters Intermediate cell state","SPARC"
"361","Wouters Intermediate cell state","SAMD4A"
"362","Wouters Intermediate cell state","SVIL"
"363","Wouters Intermediate cell state","ERAP2"
"364","Wouters Intermediate cell state","TMX4"
"365","Wouters Intermediate cell state","BDNF-AS"
"366","Wouters Intermediate cell state","MAP2K3"
"367","Wouters Intermediate cell state","SARNP"
"368","Wouters Intermediate cell state","RP11-420L9.5"
"369","Wouters Intermediate cell state","AC093616.4"
"370","Wouters Intermediate cell state","MRPS6"
"371","Wouters Intermediate cell state","RND3"
"372","Wouters Intermediate cell state","TOM1L2"
"373","Wouters Intermediate cell state","TRPV2"
"374","Wouters Intermediate cell state","SNORD17"
"375","Wouters Intermediate cell state","LINC00152"
"376","Wouters Intermediate cell state","SIDT2"
"377","Wouters Intermediate cell state","PEA15"
"378","Wouters Intermediate cell state","BTN3A2"
"379","Wouters Intermediate cell state","CDON"
"380","Wouters Intermediate cell state","HLA-E"
"381","Wouters Intermediate cell state","SLC20A1"
"382","Wouters Intermediate cell state","AMOTL1"
"383","Wouters Intermediate cell state","PTGER4"
"384","Wouters Intermediate cell state","LBX2-AS1"
"385","Wouters Intermediate cell state","S100A10"
"386","Wouters Intermediate cell state","IFIT3"
"387","Wouters Intermediate cell state","TAPBP"
"388","Wouters Intermediate cell state","SMCR8"
"389","Wouters Intermediate cell state","SLC25A20"
"390","Wouters Intermediate cell state","EHHADH"
"391","Wouters Intermediate cell state","IRF2"
"392","Wouters Intermediate cell state","BACE1"
"393","Wouters Intermediate cell state","ENDOD1"
"394","Wouters Intermediate cell state","KIFC3"
"395","Wouters Melanocytic cell state","BCL2L13"
"396","Wouters Melanocytic cell state","SLC5A6"
"397","Wouters Melanocytic cell state","LIG3"
"398","Wouters Melanocytic cell state","DGCR6L"
"399","Wouters Melanocytic cell state","EEF1A1P11"
"400","Wouters Melanocytic cell state","REPS1"
"401","Wouters Melanocytic cell state","LRPPRC"
"402","Wouters Melanocytic cell state","STK40"
"403","Wouters Melanocytic cell state","GPHN"
"404","Wouters Melanocytic cell state","HECTD2"
"405","Wouters Melanocytic cell state","SLC35B4"
"406","Wouters Melanocytic cell state","NDUFAF6"
"407","Wouters Melanocytic cell state","TMEM64"
